last_name,first_name,player_id,year,strikeout,walk,k_percent,batting_avg,p_era,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,f_strike_percent,ff_avg_speed,fastball_avg_speed,fastball_avg_spin,breaking_avg_spin,offspeed_avg_spin
Wainwright, Adam,,2020,54,15,20.6,0.221,3.15,87.3,12,6.3,36.6,75.684768404,5.58274617,24.1,67.6,89.2,87.6,2253,2791,1683
Greinke, Zack,,2020,67,9,24.5,0.256,4.03,86.8,11.7,8.2,35.2,74.93030732,5.291148144,27.7,61.9,88.1,88.1,2327,2425,1668
Sanchez, Anibal,,2020,43,18,17.6,0.313,6.62,88.9,13.5,9.4,37.6,78.450162111,5.882949553,23.4,64.5,89.3,88.6,2152,2044,1492
Lester, Jon,,2020,42,17,15.8,0.262,5.16,88.9,11.9,12.3,38.9,77.820627228,6.226303762,18.1,58.9,89.4,88.4,2240,2569,1913
Scherzer, Max,,2020,92,23,31.2,0.260,3.74,88.5,18.7,8.4,36.3,77.195484023,6.048872832,32.4,65.8,94.7,94,2489,2511,1440
Arrieta, Jake,,2020,32,16,16.8,0.298,5.08,88.9,6.7,7.8,38.3,77.831902899,6.159655145,18.9,60,91.9,92,2097,2310,1694
Cueto, Johnny,,2020,56,26,20.2,0.248,5.40,87.9,13,5.7,33.9,77.153333789,5.34431836,19.9,55.6,91.4,91.3,2198,2301,1333
Happ, J.A.,,2020,42,15,21.4,0.208,3.47,88.1,12.7,5.1,34.3,78.233579118,5.142280296,22.5,65.3,91.6,90.8,2306,2256,1755
Lindblom, Josh,,2020,52,16,27.2,0.244,5.16,87.8,21.6,5,32.5,78.269397833,4.867144118,29.5,59.7,90.1,88.5,2509,2509,1539
Lynn, Lance,,2020,89,25,25.9,0.206,3.32,88.6,17.5,5.4,37.5,77.997525495,5.735972793,25.4,61,94,92.5,2485,2609,1844
Carrasco, Carlos,,2020,82,27,29.3,0.221,2.91,88,10.3,8.3,34.9,76.917276386,5.634904277,32.6,63.9,93.7,93.5,2458,2809,1317
